fold,district,n_samples,allAcc,mAcc,macro_f1,weighted_f1,macro_precision,macro_recall
0,Gorlice,643,0.611198,0.497267,0.423540,0.639962,0.480229,0.497267
1,Herby,1268,0.906940,0.515527,0.505022,0.915559,0.548706,0.515527
2,Katrynka,777,0.909910,0.501306,0.516155,0.907417,0.599416,0.501306
3,Milicz,1086,0.847145,0.520558,0.481208,0.840903,0.570451,0.520558
4,Piensk,1570,0.952229,0.483781,0.495650,0.952564,0.511377,0.483781
5,Suprasl,1029,0.811467,0.370226,0.374903,0.816078,0.402818,0.370226

mean,,6373,0.839815,0.481444,0.466080,0.845414,0.518833,0.481444
std,,,0.111937,0.051172,0.050415,0.102743,0.064622,0.051172
aggregated,,6373,0.863016,0.545778,0.558403,0.857269,0.600796,0.545778

class,support,f1,precision,recall
Acer,60,0.105263,0.142857,0.083333
Alnus,102,0.198582,0.358974,0.137255
Betula,415,0.810323,0.872222,0.756627
Carpinus,125,0.303030,0.330189,0.280000
Fagus,489,0.712139,0.819149,0.629857
Larix,106,0.523810,0.709677,0.415094
Picea,907,0.916528,0.919069,0.914002
Pinus,3567,0.965830,0.945968,0.986543
Quercus,525,0.673522,0.612150,0.748571
Tilia,77,0.375000,0.297710,0.506494
