source,split,oa,weighted_f1,macro_f1,n_samples,f1_Abies,f1_Acer,f1_Alnus,f1_Betula,f1_Carpinus,f1_Crataegus,f1_Fagus,f1_Fraxinus,f1_Larix,f1_Malus,f1_Picea,f1_Pinus,f1_Populus,f1_Prunus,f1_Pseudotsuga,f1_Pyrus,f1_Quercus,f1_Salix,f1_Sorbus,f1_Tilia,f1_Ulmus
majority,val,0.1047,0.0198,0.019,1605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
majority,test,0.438,0.2668,0.0406,1797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alphaearth,val,0.4782,0.4702,0.1941,1171,0.1143,0.0,0.0,0.7185,0.0,0.0,0.0426,0.0,0.0,0.0,0.4526,0.2095,0.0,0.0,0.3434,0.0,0.4483,0.0,0.0,0.0,0.0
alphaearth,test,0.4329,0.4034,0.0788,1797,0.0,0.0,0.0,0.0,0.1111,0.0,0.0,0.0,0.0,0.0,0.0435,0.8982,0.0,0.0,0.0,0.0,0.1285,0.0,0.0,0.0,0.0
topo,val,0.0478,0.0385,0.0483,1171,0.0,0.0,0.0,0.0,0.0455,0.0,0.2892,0.0,0.0,0.0,0.0039,0.1233,0.0,0.0,0.2143,0.0,0.0,0.0,0.0,0.0,0.0
topo,test,0.2649,0.1924,0.0544,1797,0.0,0.0,0.0,0.0,0.2201,0.0,0.0,0.0,0.0,0.0,0.1564,0.4187,0.0,0.0,0.0,0.0,0.0215,0.0,0.0,0.0,0.0
sinr,val,0.1067,0.0317,0.024,1171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076,0.0,0.0,0.2322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sinr,test,0.0239,0.0018,0.005,1797,0.0,0.0,0.0,0.0756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpn,val,0.3128,0.3465,0.1051,1167,0.0,0.0,0.0,0.1352,0.0741,0.0,0.0,0.0,0.0,0.0,0.6723,0.359,0.0,0.0,0.0361,0.0,0.0896,0.0,0.0,0.0,0.0
gpn,test,0.1872,0.2616,0.0601,1095,0.0,0.0,0.0,0.1885,0.2174,0.0,0.0,0.0,0.0583,0.0,0.0,0.333,0.0976,0.0,0.0,0.0,0.0665,0.0,0.0,0.0,0.0
